,Año,Trimestre,Provincia,+ 30 Mbps,+30 Mbps trimestre anterior,KPI aumento +30 Mbps
519,2018,3,Río Negro,4332.0,3725.0,14.01
495,2018,4,Río Negro,5070.0,4332.0,14.56
471,2019,1,Río Negro,5076.0,5070.0,0.12
447,2019,2,Río Negro,6907.0,5076.0,26.51
423,2019,3,Río Negro,15505.0,6907.0,55.45
399,2019,4,Río Negro,19837.0,15505.0,21.84
375,2020,1,Río Negro,25488.0,19837.0,22.17
351,2020,2,Río Negro,26953.0,25488.0,5.44
327,2020,3,Río Negro,28488.0,26953.0,5.39
303,2020,4,Río Negro,29372.0,28488.0,3.01
279,2021,1,Río Negro,29589.0,29372.0,0.73
255,2021,2,Río Negro,31488.0,29589.0,6.03
231,2021,3,Río Negro,34011.0,31488.0,7.42
207,2021,4,Río Negro,36142.0,34011.0,5.9
183,2022,1,Río Negro,37729.0,36142.0,4.21
159,2022,2,Río Negro,41972.0,37729.0,10.11
135,2022,3,Río Negro,42596.0,41972.0,1.46
111,2022,4,Río Negro,57495.0,42596.0,25.91
87,2023,1,Río Negro,57910.0,57495.0,0.72
63,2023,2,Río Negro,58834.0,57910.0,1.57
39,2023,3,Río Negro,59206.0,58834.0,0.63
15,2023,4,Río Negro,64813.0,59206.0,8.65
952,2014,1,Salta,0.0,,0.0
928,2014,2,Salta,0.0,0.0,0.0
904,2014,3,Salta,0.0,0.0,0.0
880,2014,4,Salta,4.0,0.0,100.0
856,2015,1,Salta,5.0,4.0,20.0
832,2015,2,Salta,5.0,5.0,0.0
808,2015,3,Salta,5.0,5.0,0.0
784,2015,4,Salta,5.0,5.0,0.0
760,2016,1,Salta,31.0,5.0,83.87
736,2016,2,Salta,49.0,31.0,36.73
712,2016,3,Salta,50.0,49.0,2.0
688,2016,4,Salta,70.0,50.0,28.57
664,2017,1,Salta,74.0,70.0,5.41
640,2017,2,Salta,76.0,74.0,2.63
616,2017,3,Salta,63.0,76.0,-20.63
592,2017,4,Salta,84.0,63.0,25.0
568,2018,1,Salta,88.0,84.0,4.55
544,2018,2,Salta,182.0,88.0,51.65
520,2018,3,Salta,502.0,182.0,63.75
496,2018,4,Salta,2242.0,502.0,77.61
472,2019,1,Salta,2242.0,2242.0,0.0
448,2019,2,Salta,6461.0,2242.0,65.3
424,2019,3,Salta,12357.0,6461.0,47.71
400,2019,4,Salta,25821.0,12357.0,52.14
376,2020,1,Salta,34744.0,25821.0,25.68
352,2020,2,Salta,39594.0,34744.0,12.25
328,2020,3,Salta,43773.0,39594.0,9.55
304,2020,4,Salta,46697.0,43773.0,6.26
280,2021,1,Salta,54889.0,46697.0,14.92
256,2021,2,Salta,58882.0,54889.0,6.78
232,2021,3,Salta,67010.0,58882.0,12.13
208,2021,4,Salta,72622.0,67010.0,7.73
184,2022,1,Salta,76838.0,72622.0,5.49
160,2022,2,Salta,81478.0,76838.0,5.69
136,2022,3,Salta,85661.0,81478.0,4.88
112,2022,4,Salta,90014.0,85661.0,4.84
88,2023,1,Salta,92512.0,90014.0,2.7
64,2023,2,Salta,95063.0,92512.0,2.68
40,2023,3,Salta,97627.0,95063.0,2.63
16,2023,4,Salta,98971.0,97627.0,1.36
953,2014,1,San Juan,0.0,,0.0
929,2014,2,San Juan,0.0,0.0,0.0
905,2014,3,San Juan,0.0,0.0,0.0
881,2014,4,San Juan,2.0,0.0,100.0
857,2015,1,San Juan,2.0,2.0,0.0
833,2015,2,San Juan,2.0,2.0,0.0
809,2015,3,San Juan,2.0,2.0,0.0
785,2015,4,San Juan,2.0,2.0,0.0
761,2016,1,San Juan,2.0,2.0,0.0
737,2016,2,San Juan,4.0,2.0,50.0
713,2016,3,San Juan,2.0,4.0,-100.0
689,2016,4,San Juan,4.0,2.0,50.0
665,2017,1,San Juan,4.0,4.0,0.0
641,2017,2,San Juan,4.0,4.0,0.0
617,2017,3,San Juan,2.0,4.0,-100.0
593,2017,4,San Juan,2.0,2.0,0.0
569,2018,1,San Juan,0.0,2.0,0.0
545,2018,2,San Juan,0.0,0.0,0.0
521,2018,3,San Juan,1.0,0.0,100.0
497,2018,4,San Juan,1.0,1.0,0.0
473,2019,1,San Juan,2.0,1.0,50.0
449,2019,2,San Juan,4.0,2.0,50.0
425,2019,3,San Juan,128.0,4.0,96.88
401,2019,4,San Juan,127.0,128.0,-0.79
377,2020,1,San Juan,127.0,127.0,0.0
353,2020,2,San Juan,127.0,127.0,0.0
329,2020,3,San Juan,128.0,127.0,0.78
305,2020,4,San Juan,275.0,128.0,53.45
281,2021,1,San Juan,276.0,275.0,0.36
257,2021,2,San Juan,278.0,276.0,0.72
233,2021,3,San Juan,278.0,278.0,0.0
209,2021,4,San Juan,9800.0,278.0,97.16
185,2022,1,San Juan,11916.0,9800.0,17.76
161,2022,2,San Juan,16701.0,11916.0,28.65
137,2022,3,San Juan,19221.0,16701.0,13.11
113,2022,4,San Juan,19991.0,19221.0,3.85
89,2023,1,San Juan,21544.0,19991.0,7.21
65,2023,2,San Juan,21369.0,21544.0,-0.82
41,2023,3,San Juan,31081.0,21369.0,31.25
17,2023,4,San Juan,30645.0,31081.0,-1.42
954,2014,1,San Luis,2.0,,
930,2014,2,San Luis,2.0,2.0,0.0
906,2014,3,San Luis,0.0,2.0,0.0
882,2014,4,San Luis,2.0,0.0,100.0
858,2015,1,San Luis,2.0,2.0,0.0
834,2015,2,San Luis,2.0,2.0,0.0
810,2015,3,San Luis,2.0,2.0,0.0
786,2015,4,San Luis,2.0,2.0,0.0
762,2016,1,San Luis,2.0,2.0,0.0
738,2016,2,San Luis,2.0,2.0,0.0
714,2016,3,San Luis,2.0,2.0,0.0
690,2016,4,San Luis,2.0,2.0,0.0
666,2017,1,San Luis,2.0,2.0,0.0
642,2017,2,San Luis,2.0,2.0,0.0
618,2017,3,San Luis,7.0,2.0,71.43
594,2017,4,San Luis,7.0,7.0,0.0
570,2018,1,San Luis,2.0,7.0,-250.0
546,2018,2,San Luis,2.0,2.0,0.0
522,2018,3,San Luis,2.0,2.0,0.0
498,2018,4,San Luis,2.0,2.0,0.0
474,2019,1,San Luis,2.0,2.0,0.0
450,2019,2,San Luis,5.0,2.0,60.0
426,2019,3,San Luis,5.0,5.0,0.0
402,2019,4,San Luis,3.0,5.0,-66.67
378,2020,1,San Luis,5.0,3.0,40.0
354,2020,2,San Luis,8.0,5.0,37.5
330,2020,3,San Luis,8.0,8.0,0.0
306,2020,4,San Luis,22.0,8.0,63.64
282,2021,1,San Luis,22.0,22.0,0.0
258,2021,2,San Luis,22.0,22.0,0.0
234,2021,3,San Luis,22.0,22.0,0.0
210,2021,4,San Luis,9.0,22.0,-144.44
186,2022,1,San Luis,13.0,9.0,30.77
162,2022,2,San Luis,13.0,13.0,0.0
138,2022,3,San Luis,13.0,13.0,0.0
114,2022,4,San Luis,2227.0,13.0,99.42
90,2023,1,San Luis,6050.0,2227.0,63.19
66,2023,2,San Luis,15090.0,6050.0,59.91
42,2023,3,San Luis,18688.0,15090.0,19.25
18,2023,4,San Luis,33150.0,18688.0,43.63
955,2014,1,Santa Cruz,0.0,,0.0
931,2014,2,Santa Cruz,0.0,0.0,0.0
907,2014,3,Santa Cruz,0.0,0.0,0.0
883,2014,4,Santa Cruz,0.0,0.0,0.0
859,2015,1,Santa Cruz,0.0,0.0,0.0
835,2015,2,Santa Cruz,0.0,0.0,0.0
811,2015,3,Santa Cruz,0.0,0.0,0.0
787,2015,4,Santa Cruz,0.0,0.0,0.0
763,2016,1,Santa Cruz,0.0,0.0,0.0
739,2016,2,Santa Cruz,0.0,0.0,0.0
715,2016,3,Santa Cruz,0.0,0.0,0.0
691,2016,4,Santa Cruz,0.0,0.0,0.0
667,2017,1,Santa Cruz,0.0,0.0,0.0
643,2017,2,Santa Cruz,0.0,0.0,0.0
619,2017,3,Santa Cruz,1.0,0.0,100.0
595,2017,4,Santa Cruz,3.0,1.0,66.67
571,2018,1,Santa Cruz,3.0,3.0,0.0
547,2018,2,Santa Cruz,3.0,3.0,0.0
523,2018,3,Santa Cruz,3.0,3.0,0.0
499,2018,4,Santa Cruz,4.0,3.0,25.0
475,2019,1,Santa Cruz,4.0,4.0,0.0
451,2019,2,Santa Cruz,4.0,4.0,0.0
427,2019,3,Santa Cruz,4.0,4.0,0.0
403,2019,4,Santa Cruz,8.0,4.0,50.0
379,2020,1,Santa Cruz,119.0,8.0,93.28
355,2020,2,Santa Cruz,119.0,119.0,0.0
331,2020,3,Santa Cruz,120.0,119.0,0.83
307,2020,4,Santa Cruz,647.0,120.0,81.45
283,2021,1,Santa Cruz,647.0,647.0,0.0
259,2021,2,Santa Cruz,676.0,647.0,4.29
235,2021,3,Santa Cruz,678.0,676.0,0.29
211,2021,4,Santa Cruz,876.0,678.0,22.6
187,2022,1,Santa Cruz,2551.0,876.0,65.66
163,2022,2,Santa Cruz,3592.0,2551.0,28.98
139,2022,3,Santa Cruz,4604.0,3592.0,21.98
115,2022,4,Santa Cruz,5559.0,4604.0,17.18
91,2023,1,Santa Cruz,5990.0,5559.0,7.2
67,2023,2,Santa Cruz,6315.0,5990.0,5.15
43,2023,3,Santa Cruz,6542.0,6315.0,3.47
19,2023,4,Santa Cruz,19314.0,6542.0,66.13
956,2014,1,Santa Fe,668.0,,
932,2014,2,Santa Fe,792.0,668.0,15.66
908,2014,3,Santa Fe,806.0,792.0,1.74
884,2014,4,Santa Fe,824.0,806.0,2.18
860,2015,1,Santa Fe,900.0,824.0,8.44
836,2015,2,Santa Fe,1014.0,900.0,11.24
812,2015,3,Santa Fe,1133.0,1014.0,10.5
788,2015,4,Santa Fe,1189.0,1133.0,4.71
764,2016,1,Santa Fe,1063.0,1189.0,-11.85
740,2016,2,Santa Fe,1277.0,1063.0,16.76
716,2016,3,Santa Fe,1308.0,1277.0,2.37
692,2016,4,Santa Fe,1529.0,1308.0,14.45
668,2017,1,Santa Fe,1831.0,1529.0,16.49
644,2017,2,Santa Fe,4275.0,1831.0,57.17
620,2017,3,Santa Fe,12982.0,4275.0,67.07
596,2017,4,Santa Fe,19602.0,12982.0,33.77
572,2018,1,Santa Fe,22801.0,19602.0,14.03
548,2018,2,Santa Fe,26512.0,22801.0,14.0
524,2018,3,Santa Fe,31266.0,26512.0,15.21
500,2018,4,Santa Fe,36427.0,31266.0,14.17
476,2019,1,Santa Fe,36502.0,36427.0,0.21
452,2019,2,Santa Fe,49865.0,36502.0,26.8
428,2019,3,Santa Fe,97082.0,49865.0,48.64
404,2019,4,Santa Fe,135576.0,97082.0,28.39
380,2020,1,Santa Fe,173823.0,135576.0,22.0
356,2020,2,Santa Fe,189473.0,173823.0,8.26
332,2020,3,Santa Fe,210562.0,189473.0,10.02
308,2020,4,Santa Fe,226246.0,210562.0,6.93
284,2021,1,Santa Fe,236924.0,226246.0,4.51
260,2021,2,Santa Fe,262124.0,236924.0,9.61
236,2021,3,Santa Fe,290793.0,262124.0,9.86
212,2021,4,Santa Fe,322015.0,290793.0,9.7
188,2022,1,Santa Fe,344170.0,322015.0,6.44
164,2022,2,Santa Fe,373888.0,344170.0,7.95
140,2022,3,Santa Fe,396352.0,373888.0,5.67
116,2022,4,Santa Fe,453078.0,396352.0,12.52
92,2023,1,Santa Fe,479777.0,453078.0,5.56
68,2023,2,Santa Fe,499408.0,479777.0,3.93
44,2023,3,Santa Fe,534474.0,499408.0,6.56
20,2023,4,Santa Fe,557629.0,534474.0,4.15
957,2014,1,Santiago Del Estero,0.0,,0.0
933,2014,2,Santiago Del Estero,0.0,0.0,0.0
909,2014,3,Santiago Del Estero,0.0,0.0,0.0
885,2014,4,Santiago Del Estero,0.0,0.0,0.0
861,2015,1,Santiago Del Estero,0.0,0.0,0.0
837,2015,2,Santiago Del Estero,0.0,0.0,0.0
813,2015,3,Santiago Del Estero,0.0,0.0,0.0
789,2015,4,Santiago Del Estero,0.0,0.0,0.0
765,2016,1,Santiago Del Estero,0.0,0.0,0.0
741,2016,2,Santiago Del Estero,0.0,0.0,0.0
717,2016,3,Santiago Del Estero,0.0,0.0,0.0
693,2016,4,Santiago Del Estero,0.0,0.0,0.0
669,2017,1,Santiago Del Estero,0.0,0.0,0.0
645,2017,2,Santiago Del Estero,0.0,0.0,0.0
621,2017,3,Santiago Del Estero,2.0,0.0,100.0
597,2017,4,Santiago Del Estero,2.0,2.0,0.0
573,2018,1,Santiago Del Estero,2.0,2.0,0.0
549,2018,2,Santiago Del Estero,31.0,2.0,93.55
525,2018,3,Santiago Del Estero,265.0,31.0,88.3
501,2018,4,Santiago Del Estero,483.0,265.0,45.13
477,2019,1,Santiago Del Estero,494.0,483.0,2.23
453,2019,2,Santiago Del Estero,1205.0,494.0,59.0
429,2019,3,Santiago Del Estero,1836.0,1205.0,34.37
405,2019,4,Santiago Del Estero,2449.0,1836.0,25.03
381,2020,1,Santiago Del Estero,2799.0,2449.0,12.5
357,2020,2,Santiago Del Estero,3328.0,2799.0,15.9
333,2020,3,Santiago Del Estero,3994.0,3328.0,16.68
309,2020,4,Santiago Del Estero,4520.0,3994.0,11.64
285,2021,1,Santiago Del Estero,4868.0,4520.0,7.15
261,2021,2,Santiago Del Estero,6064.0,4868.0,19.72
237,2021,3,Santiago Del Estero,6863.0,6064.0,11.64
213,2021,4,Santiago Del Estero,7537.0,6863.0,8.94
189,2022,1,Santiago Del Estero,8309.0,7537.0,9.29
165,2022,2,Santiago Del Estero,10672.0,8309.0,22.14
141,2022,3,Santiago Del Estero,12342.0,10672.0,13.53
117,2022,4,Santiago Del Estero,14345.0,12342.0,13.96
93,2023,1,Santiago Del Estero,15447.0,14345.0,7.13
69,2023,2,Santiago Del Estero,16066.0,15447.0,3.85
45,2023,3,Santiago Del Estero,20734.0,16066.0,22.51
21,2023,4,Santiago Del Estero,23641.0,20734.0,12.3
958,2014,1,Tierra Del Fuego,0.0,,0.0
934,2014,2,Tierra Del Fuego,0.0,0.0,0.0
910,2014,3,Tierra Del Fuego,0.0,0.0,0.0
886,2014,4,Tierra Del Fuego,0.0,0.0,0.0
862,2015,1,Tierra Del Fuego,0.0,0.0,0.0
838,2015,2,Tierra Del Fuego,0.0,0.0,0.0
814,2015,3,Tierra Del Fuego,0.0,0.0,0.0
790,2015,4,Tierra Del Fuego,0.0,0.0,0.0
766,2016,1,Tierra Del Fuego,0.0,0.0,0.0
742,2016,2,Tierra Del Fuego,0.0,0.0,0.0
718,2016,3,Tierra Del Fuego,0.0,0.0,0.0
694,2016,4,Tierra Del Fuego,0.0,0.0,0.0
670,2017,1,Tierra Del Fuego,0.0,0.0,0.0
646,2017,2,Tierra Del Fuego,0.0,0.0,0.0
622,2017,3,Tierra Del Fuego,0.0,0.0,0.0
598,2017,4,Tierra Del Fuego,0.0,0.0,0.0
574,2018,1,Tierra Del Fuego,0.0,0.0,0.0
550,2018,2,Tierra Del Fuego,0.0,0.0,0.0
526,2018,3,Tierra Del Fuego,13.0,0.0,100.0
502,2018,4,Tierra Del Fuego,67.0,13.0,80.6
478,2019,1,Tierra Del Fuego,29.0,67.0,-131.03
454,2019,2,Tierra Del Fuego,32.0,29.0,9.38
430,2019,3,Tierra Del Fuego,226.0,32.0,85.84
406,2019,4,Tierra Del Fuego,1962.0,226.0,88.48
382,2020,1,Tierra Del Fuego,518.0,1962.0,-278.76
358,2020,2,Tierra Del Fuego,796.0,518.0,34.92
334,2020,3,Tierra Del Fuego,937.0,796.0,15.05
310,2020,4,Tierra Del Fuego,922.0,937.0,-1.63
286,2021,1,Tierra Del Fuego,919.0,922.0,-0.33
262,2021,2,Tierra Del Fuego,889.0,919.0,-3.37
238,2021,3,Tierra Del Fuego,976.0,889.0,8.91
214,2021,4,Tierra Del Fuego,1017.0,976.0,4.03
190,2022,1,Tierra Del Fuego,982.0,1017.0,-3.56
166,2022,2,Tierra Del Fuego,1006.0,982.0,2.39
142,2022,3,Tierra Del Fuego,1021.0,1006.0,1.47
118,2022,4,Tierra Del Fuego,1812.0,1021.0,43.65
94,2023,1,Tierra Del Fuego,2386.0,1812.0,24.06
70,2023,2,Tierra Del Fuego,3901.0,2386.0,38.84
46,2023,3,Tierra Del Fuego,4040.0,3901.0,3.44
22,2023,4,Tierra Del Fuego,4342.0,4040.0,6.96
959,2014,1,Tucumán,0.0,,0.0
935,2014,2,Tucumán,0.0,0.0,0.0
911,2014,3,Tucumán,0.0,0.0,0.0
887,2014,4,Tucumán,0.0,0.0,0.0
863,2015,1,Tucumán,0.0,0.0,0.0
839,2015,2,Tucumán,0.0,0.0,0.0
815,2015,3,Tucumán,0.0,0.0,0.0
791,2015,4,Tucumán,0.0,0.0,0.0
767,2016,1,Tucumán,0.0,0.0,0.0
743,2016,2,Tucumán,2.0,0.0,100.0
719,2016,3,Tucumán,4.0,2.0,50.0
695,2016,4,Tucumán,10.0,4.0,60.0
671,2017,1,Tucumán,13.0,10.0,23.08
647,2017,2,Tucumán,21.0,13.0,38.1
623,2017,3,Tucumán,655.0,21.0,96.79
599,2017,4,Tucumán,4367.0,655.0,85.0
575,2018,1,Tucumán,7082.0,4367.0,38.34
551,2018,2,Tucumán,8784.0,7082.0,19.38
527,2018,3,Tucumán,12187.0,8784.0,27.92
503,2018,4,Tucumán,14839.0,12187.0,17.87
479,2019,1,Tucumán,14839.0,14839.0,0.0
455,2019,2,Tucumán,18394.0,14839.0,19.33
431,2019,3,Tucumán,20385.0,18394.0,9.77
407,2019,4,Tucumán,56707.0,20385.0,64.05
383,2020,1,Tucumán,67536.0,56707.0,16.03
359,2020,2,Tucumán,74377.0,67536.0,9.2
335,2020,3,Tucumán,84195.0,74377.0,11.66
311,2020,4,Tucumán,93594.0,84195.0,10.04
287,2021,1,Tucumán,103437.0,93594.0,9.52
263,2021,2,Tucumán,109616.0,103437.0,5.64
239,2021,3,Tucumán,115154.0,109616.0,4.81
215,2021,4,Tucumán,125857.0,115154.0,8.5
191,2022,1,Tucumán,133846.0,125857.0,5.97
167,2022,2,Tucumán,145541.0,133846.0,8.04
143,2022,3,Tucumán,159600.0,145541.0,8.81
119,2022,4,Tucumán,153538.0,159600.0,-3.95
95,2023,1,Tucumán,164402.0,153538.0,6.61
71,2023,2,Tucumán,185887.0,164402.0,11.56
47,2023,3,Tucumán,192051.0,185887.0,3.21
23,2023,4,Tucumán,196919.0,192051.0,2.47
