,Año,Trimestre,Provincia,ADSL,Fibra óptica,adsl trimestre anterior,KPI disminucion ADSL,fibra optica trimestre anterior,KPI aumento Fibra Optica
208,2021,4,Salta,46972.0,39555.0,49212.0,4.55,36126.0,8.67
184,2022,1,Salta,44714.0,40994.0,46972.0,4.81,39555.0,3.51
160,2022,2,Salta,42665.0,47076.0,44714.0,4.58,40994.0,12.92
136,2022,3,Salta,40006.0,50254.0,42665.0,6.23,47076.0,6.32
112,2022,4,Salta,36939.0,53470.0,40006.0,7.67,50254.0,6.01
88,2023,1,Salta,33427.0,56259.0,36939.0,9.51,53470.0,4.96
64,2023,2,Salta,30666.0,58275.0,33427.0,8.26,56259.0,3.46
40,2023,3,Salta,29113.0,59914.0,30666.0,5.06,58275.0,2.74
16,2023,4,Salta,26765.0,60800.0,29113.0,8.07,59914.0,1.46
953,2014,1,San Juan,48161.0,722.0,,,,
929,2014,2,San Juan,48161.0,722.0,48161.0,0.0,722.0,0.0
905,2014,3,San Juan,48272.0,731.0,48161.0,-0.23,722.0,1.23
881,2014,4,San Juan,48653.0,740.0,48272.0,-0.79,731.0,1.22
857,2015,1,San Juan,48441.0,755.0,48653.0,0.44,740.0,1.99
833,2015,2,San Juan,48670.0,770.0,48441.0,-0.47,755.0,1.95
809,2015,3,San Juan,48670.0,770.0,48670.0,0.0,770.0,0.0
785,2015,4,San Juan,48670.0,770.0,48670.0,0.0,770.0,0.0
761,2016,1,San Juan,48670.0,770.0,48670.0,0.0,770.0,0.0
737,2016,2,San Juan,48670.0,770.0,48670.0,0.0,770.0,0.0
713,2016,3,San Juan,48670.0,770.0,48670.0,0.0,770.0,0.0
689,2016,4,San Juan,48670.0,772.0,48670.0,0.0,770.0,0.26
665,2017,1,San Juan,48670.0,772.0,48670.0,0.0,772.0,0.0
641,2017,2,San Juan,48670.0,772.0,48670.0,0.0,772.0,0.0
617,2017,3,San Juan,54499.0,816.0,48670.0,-11.98,772.0,5.39
593,2017,4,San Juan,54079.0,812.0,54499.0,0.77,816.0,-0.49
569,2018,1,San Juan,54080.0,826.0,54079.0,-0.0,812.0,1.69
545,2018,2,San Juan,54080.0,826.0,54080.0,0.0,826.0,0.0
521,2018,3,San Juan,54025.0,826.0,54080.0,0.1,826.0,0.0
497,2018,4,San Juan,51660.0,806.0,54025.0,4.38,826.0,-2.48
473,2019,1,San Juan,51660.0,808.0,51660.0,0.0,806.0,0.25
449,2019,2,San Juan,51680.0,1174.0,51660.0,-0.04,808.0,31.18
425,2019,3,San Juan,51670.0,1227.0,51680.0,0.02,1174.0,4.32
401,2019,4,San Juan,41360.0,4931.0,51670.0,19.95,1227.0,75.12
377,2020,1,San Juan,40092.0,5508.0,41360.0,3.07,4931.0,10.48
353,2020,2,San Juan,40092.0,5509.0,40092.0,0.0,5508.0,0.02
329,2020,3,San Juan,40092.0,5509.0,40092.0,0.0,5509.0,0.0
305,2020,4,San Juan,40072.0,6599.0,40092.0,0.05,5509.0,16.52
281,2021,1,San Juan,40072.0,6671.0,40072.0,0.0,6599.0,1.08
257,2021,2,San Juan,40072.0,6673.0,40072.0,0.0,6671.0,0.03
233,2021,3,San Juan,40072.0,6670.0,40072.0,0.0,6673.0,-0.04
209,2021,4,San Juan,35868.0,11072.0,40072.0,10.49,6670.0,39.76
185,2022,1,San Juan,34038.0,11294.0,35868.0,5.1,11072.0,1.97
161,2022,2,San Juan,38570.0,12328.0,34038.0,-13.31,11294.0,8.39
137,2022,3,San Juan,38570.0,12328.0,38570.0,0.0,12328.0,0.0
113,2022,4,San Juan,38570.0,12491.0,38570.0,0.0,12328.0,1.3
89,2023,1,San Juan,38568.0,12798.0,38570.0,0.01,12491.0,2.4
65,2023,2,San Juan,21483.0,25217.0,38568.0,44.3,12798.0,49.25
41,2023,3,San Juan,12669.0,42383.0,21483.0,41.03,25217.0,40.5
17,2023,4,San Juan,12669.0,42691.0,12669.0,0.0,42383.0,0.72
954,2014,1,San Luis,11306.0,354.0,,,,
930,2014,2,San Luis,11306.0,354.0,11306.0,0.0,354.0,0.0
906,2014,3,San Luis,11303.0,355.0,11306.0,0.03,354.0,0.28
882,2014,4,San Luis,11419.0,355.0,11303.0,-1.03,355.0,0.0
858,2015,1,San Luis,11414.0,351.0,11419.0,0.04,355.0,-1.14
834,2015,2,San Luis,11432.0,354.0,11414.0,-0.16,351.0,0.85
810,2015,3,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
786,2015,4,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
762,2016,1,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
738,2016,2,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
714,2016,3,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
690,2016,4,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
666,2017,1,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
642,2017,2,San Luis,11432.0,354.0,11432.0,0.0,354.0,0.0
618,2017,3,San Luis,11407.0,347.0,11432.0,0.22,354.0,-2.02
594,2017,4,San Luis,11104.0,335.0,11407.0,2.66,347.0,-3.58
570,2018,1,San Luis,11104.0,368.0,11104.0,0.0,335.0,8.97
546,2018,2,San Luis,11104.0,368.0,11104.0,0.0,368.0,0.0
522,2018,3,San Luis,11096.0,368.0,11104.0,0.07,368.0,0.0
498,2018,4,San Luis,11108.0,378.0,11096.0,-0.11,368.0,2.65
474,2019,1,San Luis,11108.0,378.0,11108.0,0.0,378.0,0.0
450,2019,2,San Luis,11130.0,347.0,11108.0,-0.2,378.0,-8.93
426,2019,3,San Luis,13037.0,350.0,11130.0,-17.13,347.0,0.86
402,2019,4,San Luis,8569.0,6.0,13037.0,34.27,350.0,-5733.33
378,2020,1,San Luis,8301.0,5.0,8569.0,3.13,6.0,-20.0
354,2020,2,San Luis,8401.0,6.0,8301.0,-1.2,5.0,16.67
330,2020,3,San Luis,8401.0,6.0,8401.0,0.0,6.0,0.0
306,2020,4,San Luis,8417.0,27.0,8401.0,-0.19,6.0,77.78
282,2021,1,San Luis,8417.0,28.0,8417.0,0.0,27.0,3.57
258,2021,2,San Luis,8417.0,28.0,8417.0,0.0,28.0,0.0
234,2021,3,San Luis,8417.0,27.0,8417.0,0.0,28.0,-3.7
210,2021,4,San Luis,8472.0,30.0,8417.0,-0.65,27.0,10.0
186,2022,1,San Luis,7987.0,31.0,8472.0,5.72,30.0,3.23
162,2022,2,San Luis,6860.0,248.0,7987.0,14.11,31.0,87.5
138,2022,3,San Luis,6860.0,248.0,6860.0,0.0,248.0,0.0
114,2022,4,San Luis,6283.0,3409.0,6860.0,8.41,248.0,92.73
90,2023,1,San Luis,6283.0,6952.0,6283.0,0.0,3409.0,50.96
66,2023,2,San Luis,4937.0,15595.0,6283.0,21.42,6952.0,55.42
42,2023,3,San Luis,4037.0,24525.0,4937.0,18.23,15595.0,36.41
18,2023,4,San Luis,4037.0,30135.0,4037.0,0.0,24525.0,18.62
955,2014,1,Santa Cruz,18927.0,381.0,,,,
931,2014,2,Santa Cruz,18956.0,381.0,18927.0,-0.15,381.0,0.0
907,2014,3,Santa Cruz,17862.0,385.0,18956.0,5.77,381.0,1.04
883,2014,4,Santa Cruz,17553.0,388.0,17862.0,1.73,385.0,0.77
859,2015,1,Santa Cruz,16215.0,392.0,17553.0,7.62,388.0,1.02
835,2015,2,Santa Cruz,15343.0,396.0,16215.0,5.38,392.0,1.01
811,2015,3,Santa Cruz,15540.0,396.0,15343.0,-1.28,396.0,0.0
787,2015,4,Santa Cruz,15614.0,396.0,15540.0,-0.48,396.0,0.0
763,2016,1,Santa Cruz,15654.0,396.0,15614.0,-0.26,396.0,0.0
739,2016,2,Santa Cruz,15453.0,396.0,15654.0,1.28,396.0,0.0
715,2016,3,Santa Cruz,15570.0,817.0,15453.0,-0.76,396.0,51.53
691,2016,4,Santa Cruz,15607.0,1055.0,15570.0,-0.24,817.0,22.56
667,2017,1,Santa Cruz,15502.0,1272.0,15607.0,0.67,1055.0,17.06
643,2017,2,Santa Cruz,15311.0,1365.0,15502.0,1.23,1272.0,6.81
619,2017,3,Santa Cruz,19220.0,1544.0,15311.0,-25.53,1365.0,11.59
595,2017,4,Santa Cruz,18614.0,582.0,19220.0,3.15,1544.0,-165.29
571,2018,1,Santa Cruz,18615.0,1799.0,18614.0,-0.01,582.0,67.65
547,2018,2,Santa Cruz,18615.0,585.0,18615.0,0.0,1799.0,-207.52
523,2018,3,Santa Cruz,18606.0,585.0,18615.0,0.05,585.0,0.0
499,2018,4,Santa Cruz,10659.0,382.0,18606.0,42.71,585.0,-53.14
475,2019,1,Santa Cruz,10659.0,382.0,10659.0,0.0,382.0,0.0
451,2019,2,Santa Cruz,10665.0,379.0,10659.0,-0.06,382.0,-0.79
427,2019,3,Santa Cruz,10663.0,969.0,10665.0,0.02,379.0,60.89
403,2019,4,Santa Cruz,13264.0,1036.0,10663.0,-24.39,969.0,6.47
379,2020,1,Santa Cruz,12845.0,1026.0,13264.0,3.16,1036.0,-0.97
355,2020,2,Santa Cruz,12845.0,1027.0,12845.0,0.0,1026.0,0.1
331,2020,3,Santa Cruz,12845.0,1027.0,12845.0,0.0,1027.0,0.0
307,2020,4,Santa Cruz,12347.0,1041.0,12845.0,3.88,1027.0,1.34
283,2021,1,Santa Cruz,12347.0,5975.0,12347.0,0.0,1041.0,82.58
259,2021,2,Santa Cruz,12347.0,6328.0,12347.0,0.0,5975.0,5.58
235,2021,3,Santa Cruz,12347.0,6328.0,12347.0,0.0,6328.0,0.0
211,2021,4,Santa Cruz,10790.0,10031.0,12347.0,12.61,6328.0,36.92
187,2022,1,Santa Cruz,10537.0,10766.0,10790.0,2.34,10031.0,6.83
163,2022,2,Santa Cruz,10170.0,10815.0,10537.0,3.48,10766.0,0.45
139,2022,3,Santa Cruz,10170.0,10815.0,10170.0,0.0,10815.0,0.0
115,2022,4,Santa Cruz,9702.0,12217.0,10170.0,4.6,10815.0,11.48
91,2023,1,Santa Cruz,9702.0,12217.0,9702.0,0.0,12217.0,0.0
67,2023,2,Santa Cruz,9019.0,11269.0,9702.0,7.04,12217.0,-8.41
43,2023,3,Santa Cruz,8376.0,11270.0,9019.0,7.13,11269.0,0.01
19,2023,4,Santa Cruz,7768.0,55246.0,8376.0,7.26,11270.0,79.6
956,2014,1,Santa Fe,322662.0,3059.0,,,,
932,2014,2,Santa Fe,324101.0,3085.0,322662.0,-0.45,3059.0,0.84
908,2014,3,Santa Fe,325577.0,4407.0,324101.0,-0.46,3085.0,30.0
884,2014,4,Santa Fe,335267.0,3205.0,325577.0,-2.98,4407.0,-37.5
860,2015,1,Santa Fe,328809.0,2845.0,335267.0,1.93,3205.0,-12.65
836,2015,2,Santa Fe,333117.0,2877.0,328809.0,-1.31,2845.0,1.11
812,2015,3,Santa Fe,337042.0,4169.0,333117.0,-1.18,2877.0,30.99
788,2015,4,Santa Fe,339843.0,2885.0,337042.0,-0.83,4169.0,-44.51
764,2016,1,Santa Fe,338052.0,3014.0,339843.0,0.53,2885.0,4.28
740,2016,2,Santa Fe,336244.0,2981.0,338052.0,0.53,3014.0,-1.11
716,2016,3,Santa Fe,334911.0,3037.0,336244.0,0.4,2981.0,1.84
692,2016,4,Santa Fe,326721.0,3201.0,334911.0,2.45,3037.0,5.12
668,2017,1,Santa Fe,327458.0,3210.0,326721.0,-0.23,3201.0,0.28
644,2017,2,Santa Fe,329813.0,3234.0,327458.0,-0.72,3210.0,0.74
620,2017,3,Santa Fe,322953.0,6338.0,329813.0,2.08,3234.0,48.97
596,2017,4,Santa Fe,341680.0,10602.0,322953.0,-5.8,6338.0,40.22
572,2018,1,Santa Fe,341997.0,10674.0,341680.0,-0.09,10602.0,0.67
548,2018,2,Santa Fe,337934.0,11354.0,341997.0,1.19,10674.0,5.99
524,2018,3,Santa Fe,339126.0,11749.0,337934.0,-0.35,11354.0,3.36
500,2018,4,Santa Fe,335519.0,14387.0,339126.0,1.06,11749.0,18.34
476,2019,1,Santa Fe,340038.0,15621.0,335519.0,-1.35,14387.0,7.9
452,2019,2,Santa Fe,325420.0,18236.0,340038.0,4.3,15621.0,14.34
428,2019,3,Santa Fe,319396.0,18690.0,325420.0,1.85,18236.0,2.43
404,2019,4,Santa Fe,312072.0,27464.0,319396.0,2.29,18690.0,31.95
380,2020,1,Santa Fe,302366.0,35123.0,312072.0,3.11,27464.0,21.81
356,2020,2,Santa Fe,299974.0,46698.0,302366.0,0.79,35123.0,24.79
332,2020,3,Santa Fe,295051.0,45721.0,299974.0,1.64,46698.0,-2.14
308,2020,4,Santa Fe,287271.0,62692.0,295051.0,2.64,45721.0,27.07
284,2021,1,Santa Fe,277012.0,70976.0,287271.0,3.57,62692.0,11.67
260,2021,2,Santa Fe,256741.0,90424.0,277012.0,7.32,70976.0,21.51
236,2021,3,Santa Fe,245929.0,93412.0,256741.0,4.21,90424.0,3.2
212,2021,4,Santa Fe,233427.0,128856.0,245929.0,5.08,93412.0,27.51
188,2022,1,Santa Fe,213486.0,146552.0,233427.0,8.54,128856.0,12.07
164,2022,2,Santa Fe,198492.0,189503.0,213486.0,7.02,146552.0,22.67
140,2022,3,Santa Fe,183740.0,215189.0,198492.0,7.43,189503.0,11.94
116,2022,4,Santa Fe,163621.0,248558.0,183740.0,10.95,215189.0,13.43
92,2023,1,Santa Fe,138935.0,283988.0,163621.0,15.09,248558.0,12.48
68,2023,2,Santa Fe,126344.0,311166.0,138935.0,9.06,283988.0,8.73
44,2023,3,Santa Fe,108503.0,336013.0,126344.0,14.12,311166.0,7.39
20,2023,4,Santa Fe,97004.0,355762.0,108503.0,10.6,336013.0,5.55
957,2014,1,Santiago Del Estero,32567.0,19.0,,,,
933,2014,2,Santiago Del Estero,32820.0,19.0,32567.0,-0.78,19.0,0.0
909,2014,3,Santiago Del Estero,32820.0,19.0,32820.0,0.0,19.0,0.0
885,2014,4,Santiago Del Estero,34110.0,19.0,32820.0,-3.93,19.0,0.0
861,2015,1,Santiago Del Estero,33813.0,19.0,34110.0,0.87,19.0,0.0
837,2015,2,Santiago Del Estero,33873.0,19.0,33813.0,-0.18,19.0,0.0
813,2015,3,Santiago Del Estero,33886.0,19.0,33873.0,-0.04,19.0,0.0
789,2015,4,Santiago Del Estero,33582.0,19.0,33886.0,0.9,19.0,0.0
765,2016,1,Santiago Del Estero,32838.0,19.0,33582.0,2.22,19.0,0.0
741,2016,2,Santiago Del Estero,32101.0,19.0,32838.0,2.24,19.0,0.0
717,2016,3,Santiago Del Estero,31730.0,19.0,32101.0,1.16,19.0,0.0
693,2016,4,Santiago Del Estero,30192.0,19.0,31730.0,4.85,19.0,0.0
669,2017,1,Santiago Del Estero,29616.0,19.0,30192.0,1.91,19.0,0.0
645,2017,2,Santiago Del Estero,28337.0,19.0,29616.0,4.32,19.0,0.0
621,2017,3,Santiago Del Estero,27733.0,19.0,28337.0,2.13,19.0,0.0
597,2017,4,Santiago Del Estero,27313.0,19.0,27733.0,1.51,19.0,0.0
573,2018,1,Santiago Del Estero,26788.0,23.0,27313.0,1.92,19.0,17.39
549,2018,2,Santiago Del Estero,26074.0,23.0,26788.0,2.67,23.0,0.0
525,2018,3,Santiago Del Estero,25805.0,23.0,26074.0,1.03,23.0,0.0
501,2018,4,Santiago Del Estero,25339.0,23.0,25805.0,1.81,23.0,0.0
477,2019,1,Santiago Del Estero,25337.0,23.0,25339.0,0.01,23.0,0.0
453,2019,2,Santiago Del Estero,24393.0,219.0,25337.0,3.73,23.0,89.5
429,2019,3,Santiago Del Estero,24556.0,219.0,24393.0,-0.67,219.0,0.0
405,2019,4,Santiago Del Estero,24682.0,200.0,24556.0,-0.51,219.0,-9.5
381,2020,1,Santiago Del Estero,24695.0,200.0,24682.0,-0.05,200.0,0.0
357,2020,2,Santiago Del Estero,25917.0,355.0,24695.0,-4.95,200.0,43.66
333,2020,3,Santiago Del Estero,26419.0,555.0,25917.0,-1.94,355.0,36.04
309,2020,4,Santiago Del Estero,26812.0,570.0,26419.0,-1.49,555.0,2.63
285,2021,1,Santiago Del Estero,26468.0,570.0,26812.0,1.28,570.0,0.0
261,2021,2,Santiago Del Estero,20734.0,909.0,26468.0,21.66,570.0,37.29
237,2021,3,Santiago Del Estero,19939.0,909.0,20734.0,3.83,909.0,0.0
213,2021,4,Santiago Del Estero,19032.0,1088.0,19939.0,4.55,909.0,16.45
189,2022,1,Santiago Del Estero,18118.0,1093.0,19032.0,4.8,1088.0,0.46
165,2022,2,Santiago Del Estero,16561.0,11605.0,18118.0,8.59,1093.0,90.58
141,2022,3,Santiago Del Estero,15385.0,13170.0,16561.0,7.1,11605.0,11.88
117,2022,4,Santiago Del Estero,13577.0,15117.0,15385.0,11.75,13170.0,12.88
93,2023,1,Santiago Del Estero,11642.0,16656.0,13577.0,14.25,15117.0,9.24
69,2023,2,Santiago Del Estero,10629.0,17244.0,11642.0,8.7,16656.0,3.41
45,2023,3,Santiago Del Estero,9412.0,21745.0,10629.0,11.45,17244.0,20.7
21,2023,4,Santiago Del Estero,8290.0,24271.0,9412.0,11.92,21745.0,10.41
958,2014,1,Tierra Del Fuego,21618.0,648.0,,,,
934,2014,2,Tierra Del Fuego,21618.0,648.0,21618.0,0.0,648.0,0.0
910,2014,3,Tierra Del Fuego,21840.0,650.0,21618.0,-1.03,648.0,0.31
886,2014,4,Tierra Del Fuego,21948.0,655.0,21840.0,-0.49,650.0,0.76
862,2015,1,Tierra Del Fuego,22291.0,657.0,21948.0,-1.56,655.0,0.3
838,2015,2,Tierra Del Fuego,22636.0,665.0,22291.0,-1.55,657.0,1.2
814,2015,3,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
790,2015,4,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
766,2016,1,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
742,2016,2,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
718,2016,3,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
694,2016,4,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
670,2017,1,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
646,2017,2,Tierra Del Fuego,22636.0,665.0,22636.0,0.0,665.0,0.0
622,2017,3,Tierra Del Fuego,21587.0,622.0,22636.0,4.63,665.0,-6.91
598,2017,4,Tierra Del Fuego,19372.0,530.0,21587.0,10.26,622.0,-17.36
574,2018,1,Tierra Del Fuego,19372.0,531.0,19372.0,0.0,530.0,0.19
550,2018,2,Tierra Del Fuego,19372.0,531.0,19372.0,0.0,531.0,0.0
526,2018,3,Tierra Del Fuego,19365.0,1502.0,19372.0,0.04,531.0,64.65
502,2018,4,Tierra Del Fuego,19789.0,1623.0,19365.0,-2.19,1502.0,7.46
478,2019,1,Tierra Del Fuego,19789.0,1623.0,19789.0,0.0,1623.0,0.0
454,2019,2,Tierra Del Fuego,19790.0,651.0,19789.0,-0.01,1623.0,-149.31
430,2019,3,Tierra Del Fuego,19790.0,651.0,19790.0,0.0,651.0,0.0
406,2019,4,Tierra Del Fuego,13261.0,0.0,19790.0,32.99,651.0,0.0
382,2020,1,Tierra Del Fuego,12854.0,0.0,13261.0,3.07,0.0,0.0
358,2020,2,Tierra Del Fuego,12854.0,0.0,12854.0,0.0,0.0,0.0
334,2020,3,Tierra Del Fuego,12854.0,0.0,12854.0,0.0,0.0,0.0
310,2020,4,Tierra Del Fuego,12853.0,6.0,12854.0,0.01,0.0,100.0
286,2021,1,Tierra Del Fuego,12853.0,6.0,12853.0,0.0,6.0,0.0
262,2021,2,Tierra Del Fuego,12853.0,6.0,12853.0,0.0,6.0,0.0
238,2021,3,Tierra Del Fuego,12853.0,6.0,12853.0,0.0,6.0,0.0
214,2021,4,Tierra Del Fuego,13317.0,426.0,12853.0,-3.61,6.0,98.59
190,2022,1,Tierra Del Fuego,13031.0,416.0,13317.0,2.15,426.0,-2.4
166,2022,2,Tierra Del Fuego,12754.0,403.0,13031.0,2.13,416.0,-3.23
142,2022,3,Tierra Del Fuego,12754.0,403.0,12754.0,0.0,403.0,0.0
118,2022,4,Tierra Del Fuego,12754.0,405.0,12754.0,0.0,403.0,0.49
94,2023,1,Tierra Del Fuego,12754.0,405.0,12754.0,0.0,405.0,0.0
70,2023,2,Tierra Del Fuego,12392.0,525.0,12754.0,2.84,405.0,22.86
46,2023,3,Tierra Del Fuego,9357.0,3682.0,12392.0,24.49,525.0,85.74
22,2023,4,Tierra Del Fuego,9357.0,3682.0,9357.0,0.0,3682.0,0.0
959,2014,1,Tucumán,129717.0,121.0,,,,
935,2014,2,Tucumán,131740.0,121.0,129717.0,-1.56,121.0,0.0
911,2014,3,Tucumán,131739.0,117.0,131740.0,0.0,121.0,-3.42
887,2014,4,Tucumán,137093.0,116.0,131739.0,-4.06,117.0,-0.86
863,2015,1,Tucumán,137857.0,116.0,137093.0,-0.56,116.0,0.0
839,2015,2,Tucumán,139944.0,116.0,137857.0,-1.51,116.0,0.0
815,2015,3,Tucumán,142925.0,116.0,139944.0,-2.13,116.0,0.0
791,2015,4,Tucumán,144188.0,116.0,142925.0,-0.88,116.0,0.0
767,2016,1,Tucumán,144233.0,116.0,144188.0,-0.03,116.0,0.0
743,2016,2,Tucumán,145486.0,116.0,144233.0,-0.87,116.0,0.0
719,2016,3,Tucumán,147259.0,116.0,145486.0,-1.22,116.0,0.0
695,2016,4,Tucumán,146995.0,116.0,147259.0,0.18,116.0,0.0
671,2017,1,Tucumán,147373.0,116.0,146995.0,-0.26,116.0,0.0
647,2017,2,Tucumán,149013.0,116.0,147373.0,-1.11,116.0,0.0
623,2017,3,Tucumán,154130.0,106.0,149013.0,-3.43,116.0,-9.43
599,2017,4,Tucumán,156583.0,105.0,154130.0,-1.59,106.0,-0.95
575,2018,1,Tucumán,158611.0,107.0,156583.0,-1.3,105.0,1.87
551,2018,2,Tucumán,160315.0,110.0,158611.0,-1.07,107.0,2.73
527,2018,3,Tucumán,161209.0,110.0,160315.0,-0.56,110.0,0.0
503,2018,4,Tucumán,159215.0,119.0,161209.0,1.24,110.0,7.56
479,2019,1,Tucumán,159215.0,118.0,159215.0,0.0,119.0,-0.85
455,2019,2,Tucumán,153121.0,116.0,159215.0,3.83,118.0,-1.72
431,2019,3,Tucumán,150918.0,116.0,153121.0,1.44,116.0,0.0
407,2019,4,Tucumán,146985.0,39574.0,150918.0,2.61,116.0,99.71
383,2020,1,Tucumán,143184.0,44687.0,146985.0,2.59,39574.0,11.44
359,2020,2,Tucumán,150084.0,55120.0,143184.0,-4.82,44687.0,18.93
335,2020,3,Tucumán,149605.0,59949.0,150084.0,0.32,55120.0,8.06
311,2020,4,Tucumán,149322.0,68043.0,149605.0,0.19,59949.0,11.9
287,2021,1,Tucumán,147199.0,69954.0,149322.0,1.42,68043.0,2.73
263,2021,2,Tucumán,110429.0,71683.0,147199.0,24.98,69954.0,2.41
239,2021,3,Tucumán,104489.0,70964.0,110429.0,5.38,71683.0,-1.01
215,2021,4,Tucumán,97830.0,78790.0,104489.0,6.37,70964.0,9.93
191,2022,1,Tucumán,92532.0,86174.0,97830.0,5.42,78790.0,8.57
167,2022,2,Tucumán,85893.0,148823.0,92532.0,7.17,86174.0,42.1
143,2022,3,Tucumán,77738.0,162345.0,85893.0,9.49,148823.0,8.33
119,2022,4,Tucumán,69441.0,168717.0,77738.0,10.67,162345.0,3.78
95,2023,1,Tucumán,55822.0,180976.0,69441.0,19.61,168717.0,6.77
71,2023,2,Tucumán,50019.0,188986.0,55822.0,10.4,180976.0,4.24
47,2023,3,Tucumán,46348.0,195053.0,50019.0,7.34,188986.0,3.11
23,2023,4,Tucumán,41318.0,199876.0,46348.0,10.85,195053.0,2.41
